Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9406432748538013,0.8652380952380951,0.85,0.854634511993383,0.7587939698492463,0.9605771723974296
KNN,0.945906432748538,0.8795594800420169,0.8625,0.8672160737812913,0.7785606441872169,0.9695206253914547
KNN,0.9403508771929824,0.8998437499999999,0.875,0.8830115099197335,0.800299550673989,0.9028169102897364
KNN,0.9181286549707602,0.8817401960784312,0.875,0.8770969028929837,0.7960224375318715,0.975835853936366
LR,0.89093567251462,0.9384868421052632,0.9375,0.9378174603174603,0.8969337799536202,0.9720868461803908
LR,0.8961988304093568,0.930048076923077,0.925,0.926094459241475,0.8768283294842186,0.971415653836344
LR,0.8850877192982457,0.9201923076923076,0.9125,0.9152217741935484,0.8574338085539714,0.9651636010292165
LR,0.8795321637426902,0.9291118421052632,0.925,0.9263721365123889,0.8769861609431061,0.9701384321344508
SVC,0.9459064327485379,0.931756072874494,0.925,0.926577868852459,0.8776446596992098,0.9904440642125488
SVC,0.9678362573099415,0.9190946374414116,0.9125,0.9148992987606,0.8576150521230612,0.9895783641340232
SVC,0.9128654970760234,0.9705357142857143,0.9625,0.9643035714285713,0.939378630967416,0.9927941423533562
SVC,0.9078947368421051,0.9425747863247864,0.9375,0.9390560447923463,0.8982964658021866,0.9862768366307294
