Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.8490566037735849,0.8831985624438454,0.8490566037735849,0.8592288761279737,0.7628635346756152,0.9598520923520923
KNN,0.8301886792452831,0.8559176672384219,0.8301886792452831,0.839379661518308,0.730660643704122,0.941002886002886
KNN,0.8867924528301887,0.9033381712626996,0.8867924528301887,0.8913419523852376,0.8171362852213916,0.9129172679172678
KNN,0.8113207547169812,0.8194444444444444,0.8113207547169812,0.8149674964325353,0.6948762233736328,0.8957335257335256
LR,0.8867924528301887,0.8805031446540882,0.8867924528301887,0.8713550600343053,0.8098086124401913,0.9601851851851851
LR,0.9056603773584906,0.9069182389937106,0.9056603773584906,0.8980130381747632,0.8431024274718768,0.9656854256854257
LR,0.8301886792452831,0.8111635220125786,0.8301886792452831,0.8151632733842975,0.7175843694493783,0.951996151996152
LR,0.8301886792452831,0.8111635220125786,0.8301886792452831,0.8151632733842975,0.7175843694493783,0.9544083694083693
SVC,0.9622641509433962,0.963162623539982,0.9622641509433962,0.9623017177418597,0.9385507246376812,0.9911904761904763
SVC,0.9433962264150944,0.9588336192109778,0.9433962264150944,0.9460584419700395,0.9102202145680407,0.9888359788359788
SVC,0.9245283018867925,0.9348560079443893,0.9245283018867925,0.9278029547571327,0.8787878787878788,0.978845598845599
SVC,0.9245283018867925,0.9256220946130708,0.9245283018867925,0.920919486706486,0.8753674309229865,0.9799663299663299
