Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9147186147186147,0.935062893081761,0.9245283018867925,0.9279016880095048,0.8787878787878788,0.9873809523809524
KNN,0.9149350649350649,0.9153404429860541,0.9056603773584906,0.9082809224318658,0.8489167616875712,0.9858946608946608
KNN,0.8954545454545455,0.9353099730458221,0.8867924528301887,0.8979554187878527,0.8245033112582781,0.9768302068302068
KNN,0.8577922077922079,0.8932380171100434,0.8867924528301887,0.8886851104915043,0.817451205510907,0.9635569985569985
LR,0.8861471861471862,0.9256220946130708,0.9245283018867925,0.920919486706486,0.8753674309229865,0.9796296296296297
LR,0.9004329004329005,0.9256220946130708,0.9245283018867925,0.920919486706486,0.8753674309229865,0.9842592592592593
LR,0.8625541125541124,0.8655806867455761,0.8679245283018868,0.863924235775925,0.7840512223515717,0.9702886002886003
LR,0.8577922077922077,0.8655806867455761,0.8679245283018868,0.863924235775925,0.7840512223515717,0.9735714285714286
SVC,0.9428571428571428,0.963162623539982,0.9622641509433962,0.9623017177418597,0.9385507246376812,0.9962962962962963
SVC,0.9290043290043289,1.0,1.0,1.0,1.0,0.9953703703703703
SVC,0.9294372294372295,1.0,1.0,1.0,1.0,1.0
SVC,0.9101731601731602,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8767441860465116,0.987037037037037
