Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9147186147186147,0.935062893081761,0.9245283018867925,0.9279016880095048,0.8787878787878788,0.9873809523809524
KNN,0.8865800865800866,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9383720930232559,0.9985690235690236
KNN,0.8580086580086581,0.8767867352773013,0.8679245283018868,0.8694853292581586,0.7876359473382942,0.9786002886002886
KNN,0.9095238095238095,0.9152019198940748,0.9056603773584906,0.9085499705445798,0.8484848484848485,0.9809283309283309
LR,0.8861471861471862,0.9256220946130708,0.9245283018867925,0.920919486706486,0.8753674309229865,0.9796296296296297
LR,0.8673160173160174,0.8655806867455761,0.8679245283018868,0.863924235775925,0.7840512223515717,0.9740211640211641
LR,0.8673160173160172,0.8411266065080668,0.8490566037735849,0.8401331373029486,0.7514654161781946,0.9767989417989419
LR,0.885930735930736,0.9036837376460019,0.8867924528301887,0.8919655475157722,0.8192154633314384,0.9593169793169793
SVC,0.9428571428571428,0.963162623539982,0.9622641509433962,0.9623017177418597,0.9385507246376812,0.9972222222222222
SVC,0.9333333333333332,0.9484875711290804,0.9433962264150944,0.9445049764038151,0.9087256027554536,0.9953703703703703
SVC,0.9008658008658008,0.9820305480682839,0.9811320754716981,0.9807332412946772,0.9689695550351288,0.9990740740740741
SVC,0.9002164502164502,0.9018867924528301,0.8867924528301887,0.8922955974842768,0.8187001140250856,0.9788720538720539
