Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.7875,0.8286511156186613,0.7875,0.803698832338292,0.6622796126148498,0.9133199055399907
KNN,0.7625,0.7984136710239651,0.7625,0.775384341105841,0.6216081652974857,0.9220836988231453
KNN,0.85,0.8610662774725274,0.85,0.8520495349340255,0.7571464710346573,0.9013488049130113
KNN,0.8625,0.8610714285714286,0.8625,0.8593995098039215,0.7716658017644006,0.9514899161559299
LR,0.8875,0.8834509408602151,0.8875,0.8839069264069263,0.8119613476103421,0.9633089413308543
LR,0.8875,0.8956704921422662,0.8875,0.8907697325505545,0.816933638443936,0.9538181011378369
LR,0.8625,0.8756831983805669,0.8625,0.8675362021857923,0.7756818761152179,0.9507087258919918
LR,0.9,0.905482456140351,0.9,0.9020822814399253,0.8359815479241415,0.9634472049751056
SVC,0.875,0.8795138888888889,0.875,0.8770175699821323,0.7955010224948875,0.9792734243904144
SVC,0.875,0.87940188172043,0.875,0.8769496204278813,0.7952393140517021,0.9667843228790999
SVC,0.8875,0.8813725490196077,0.8875,0.8832575757575757,0.8126951092611863,0.9558855667831748
SVC,0.875,0.8699107142857143,0.875,0.8707999386628501,0.7921538061834243,0.9826148176280886
