Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9008771929824562,0.9663461538461539,0.9625,0.963138440860215,0.9389002036659878,0.9993513138103634
KNN,0.867543859649123,0.9377698511166253,0.9375,0.9369674185463659,0.8962386511024644,0.9868903680400457
KNN,0.8245614035087719,0.9102351916376307,0.9125,0.9054487179487178,0.85193019566367,0.9634963826342428
KNN,0.8690058479532163,0.8990129662004662,0.9,0.8965334008097166,0.8321531602412798,0.9747935087154785
LR,0.9064327485380117,0.9878289473684211,0.9875,0.9872857142857143,0.9792746113989638,1.0
LR,0.8736842105263157,0.9449404761904763,0.9375,0.9338230861965038,0.894095843261848,0.9918984340689504
LR,0.8631578947368421,0.9354651162790697,0.925,0.9185221171802052,0.8720341242335377,0.995194814997804
LR,0.8845029239766082,0.9625320512820512,0.9625,0.9618368838763576,0.9377431906614786,0.9786243025803977
SVC,0.9447368421052632,0.9885416666666667,0.9875,0.9876861226920786,0.9795501022494888,1.0
SVC,0.9342105263157896,0.951923076923077,0.95,0.9494078947368422,0.9165362545644236,0.9954240418922232
SVC,0.923391812865497,0.9878289473684211,0.9875,0.9872857142857143,0.9792746113989638,0.9993639624362735
SVC,0.9236842105263158,0.9762820512820513,0.975,0.9740789473684209,0.9582681272822118,0.9958782203473812
