Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.875,0.875,0.875,0.875,0.7941327843540916,0.9452688527788059
KNN,0.8375,0.8532085253456222,0.8375,0.8438154761904763,0.7373074008588028,0.9427221292366799
KNN,0.85,0.8608477307006719,0.85,0.8540328187071143,0.7565305604869388,0.9385474332992739
KNN,0.9,0.9034722222222221,0.9,0.9014740917212627,0.83640081799591,0.9638485838680163
LR,0.9125,0.909508547008547,0.9125,0.9097368421052632,0.8539384454877412,0.9625234083414695
LR,0.9125,0.9150641025641025,0.9125,0.9130836162988116,0.8555211558307534,0.9599136594799828
LR,0.9125,0.9201923076923076,0.9125,0.9152217741935484,0.8574338085539714,0.9593305718969267
LR,0.9125,0.9201923076923076,0.9125,0.9152217741935484,0.8574338085539714,0.9597191517455043
SVC,0.8875,0.9161764705882351,0.8875,0.8954435630174489,0.8212068537372734,0.9854917392617247
SVC,0.875,0.8888655462184873,0.875,0.8799014084507043,0.798183652875883,0.9662013026878106
SVC,0.8875,0.8920373376623377,0.8875,0.8891924470457081,0.8161858565228491,0.9706254098928991
SVC,0.8875,0.8849142156862744,0.8875,0.8855749273557493,0.813953488372093,0.9760876543769618
