Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.975,0.9788461538461538,0.975,0.9758568438791041,0.9593185863208746,0.995185699587439
KNN,0.9,0.9043201754385966,0.9,0.9015123889668069,0.8359815479241415,0.9545851854963016
KNN,0.8,0.8176785714285714,0.8,0.807427308882015,0.6762771876580678,0.8890393205209701
KNN,0.875,0.8620979532163744,0.875,0.861078431372549,0.7881355932203389,0.9355522606804284
LR,0.9375,0.9417830882352941,0.9375,0.9294181308887192,0.8937865108868827,0.9947299077733861
LR,0.875,0.8970108695652174,0.875,0.8421570898980537,0.7809419496166484,0.9829180838130851
LR,0.9125,0.9264204545454545,0.9125,0.9021191578483245,0.8496644295302014,0.9892886852074637
LR,0.95,0.9548780487804878,0.95,0.9482223186170554,0.9158559032342887,0.977738451824492
SVC,0.925,0.9318858560794044,0.925,0.927543351815612,0.8779557589626239,0.9923273152722881
SVC,0.9125,0.9143849206349206,0.9125,0.9098057169537249,0.8533647551715109,0.962374851548338
SVC,0.875,0.8961775362318841,0.875,0.8598762793107916,0.7834325933946941,0.946991033203037
SVC,0.9125,0.919583931133429,0.9125,0.900477127039627,0.8502673796791445,0.9697194084596132
