Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9245283018867925,0.9236350835159177,0.9245283018867925,0.9226415094339623,0.8751472320376914,0.9654641654641655
KNN,0.8867924528301887,0.904741905475898,0.8867924528301887,0.8919423013266111,0.8199320498301246,0.9531613756613756
KNN,0.8490566037735849,0.8431771252029445,0.8490566037735849,0.844895984518626,0.7502944640753828,0.962492784992785
KNN,0.8113207547169812,0.8260509764978484,0.8113207547169812,0.8172480409677177,0.696969696969697,0.9543915343915345
LR,0.9245283018867925,0.9263252470799641,0.9245283018867925,0.925026061966434,0.8771014492753624,0.9502525252525252
LR,0.9056603773584906,0.9137466307277629,0.9056603773584906,0.9083391985418189,0.8478760045924225,0.9515728715728716
LR,0.9056603773584906,0.9020664869721473,0.9056603773584906,0.9032060131922074,0.844847775175644,0.9431289081289081
LR,0.8867924528301887,0.8878032345013478,0.8867924528301887,0.8869051532255793,0.8156521739130435,0.9492448292448293
SVC,0.9245283018867925,0.9279588336192109,0.9245283018867925,0.9246406109613656,0.877456647398844,0.9845406445406445
SVC,0.9056603773584906,0.9152019198940748,0.9056603773584906,0.9085499705445798,0.8484848484848485,0.9812578162578163
SVC,0.8490566037735849,0.8722126929674099,0.8490566037735849,0.8564727756766465,0.7605872388481084,0.9673424723424725
SVC,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9075581395348837,0.9803872053872054
