Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.8490566037735849,0.8831985624438454,0.8490566037735849,0.8592288761279737,0.7628635346756152,0.9598520923520923
KNN,0.9245283018867925,0.935062893081761,0.9245283018867925,0.9279016880095048,0.8787878787878788,0.9811087061087062
KNN,0.8113207547169812,0.7980510055981754,0.8113207547169812,0.8029844243265645,0.686575990538143,0.9251274651274652
KNN,0.8490566037735849,0.8455677979014622,0.8490566037735849,0.8461054668601838,0.7502944640753828,0.9546885521885522
LR,0.8867924528301887,0.8805031446540882,0.8867924528301887,0.8713550600343053,0.8098086124401913,0.9601851851851851
LR,0.8490566037735849,0.8411266065080668,0.8490566037735849,0.8401331373029486,0.7514654161781946,0.9643121693121693
LR,0.8490566037735849,0.8411266065080668,0.8490566037735849,0.8401331373029486,0.7514654161781946,0.9633309283309283
LR,0.8490566037735849,0.8525617122827951,0.8490566037735849,0.8492812219227313,0.7549132947976879,0.9509571909571909
SVC,0.9622641509433962,0.963162623539982,0.9622641509433962,0.9623017177418597,0.9385507246376812,0.9921164021164021
SVC,0.9433962264150944,0.9441313403577554,0.9433962264150944,0.9422153767167244,0.9071803852889667,0.987037037037037
SVC,0.9245283018867925,0.9305181191973645,0.9245283018867925,0.9260972451566913,0.878300803673938,0.9802188552188552
SVC,0.9433962264150944,0.9459188610132007,0.9433962264150944,0.9415760781993423,0.905972797161443,0.9849326599326599
