Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.7,0.7181475387357741,0.7,0.7071726190476191,0.5136778115501519,0.753326388865167
KNN,0.8,0.8467846569139674,0.8,0.8171053056609867,0.6841845546508758,0.9027323533009121
KNN,0.7875,0.8450252525252525,0.7875,0.8060343278919003,0.667887667887668,0.8935515200869647
KNN,0.8875,0.8926514750044161,0.8875,0.8863216983057767,0.8134231666234776,0.9163126183593512
LR,0.7,0.6135416666666667,0.7,0.6533473568684836,0.4755531275607757,0.8048345407479477
LR,0.8875,0.8817307692307693,0.8875,0.8834868421052633,0.812206572769953,0.9655048130919436
LR,0.875,0.8910714285714285,0.875,0.880827868852459,0.7974170676120537,0.9518443898400767
LR,0.8875,0.8921875,0.8875,0.8882824143070044,0.8140015499870834,0.9608856951402295
SVC,0.7375,0.6528093434343434,0.7375,0.6875450612833454,0.540983606557377,0.8076767680218134
SVC,0.875,0.8795138888888889,0.875,0.8770175699821323,0.7955010224948875,0.9734577548380949
SVC,0.8625,0.8637415110356537,0.8625,0.862952380952381,0.7732543158979645,0.9517764357564661
SVC,0.875,0.8676587301587302,0.875,0.8660947712418302,0.7895844292477644,0.9650308521880185
