Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9,0.9043201754385966,0.9,0.9015123889668069,0.8359815479241415,0.9545851854963016
KNN,0.9,0.9043201754385966,0.9,0.9015123889668069,0.8359815479241415,0.9545851854963016
KNN,0.8,0.8176785714285714,0.8,0.807427308882015,0.6762771876580678,0.8890393205209701
KNN,0.875,0.8620979532163744,0.875,0.861078431372549,0.7881355932203389,0.9355522606804284
LR,0.875,0.8970108695652174,0.875,0.8421570898980537,0.7809419496166484,0.9829180838130851
LR,0.875,0.8970108695652174,0.875,0.8421570898980537,0.7809419496166484,0.9829180838130851
LR,0.9125,0.9264204545454545,0.9125,0.9021191578483245,0.8496644295302014,0.9892886852074637
LR,0.95,0.9548780487804878,0.95,0.9482223186170554,0.9158559032342887,0.977738451824492
SVC,0.9125,0.9143849206349206,0.9125,0.9098057169537249,0.8533647551715109,0.9665242839298073
SVC,0.9125,0.9143849206349206,0.9125,0.9098057169537249,0.8533647551715109,0.963293501607534
SVC,0.875,0.8961775362318841,0.875,0.8598762793107916,0.7834325933946941,0.9393005532749751
SVC,0.9125,0.919583931133429,0.9125,0.900477127039627,0.8502673796791445,0.9690782243214467
