Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9811320754716981,0.9832285115303984,0.9811320754716981,0.9814944845862873,0.9694876223373633,0.9990608465608467
KNN,0.9245283018867925,0.934208367514356,0.9245283018867925,0.9271488469601676,0.879133409350057,0.9783201058201058
KNN,0.7924528301886793,0.7757861635220125,0.7924528301886793,0.7787576305096521,0.654825340438129,0.9213407888407888
KNN,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.661046511627907,0.8770514670514671
LR,0.8867924528301887,0.8767590080141351,0.8867924528301887,0.8704540174999355,0.8092381523695261,0.9898148148148148
LR,0.9056603773584906,0.9189646831156265,0.9056603773584906,0.8878350654155314,0.8398791540785498,0.9888888888888889
LR,0.8867924528301887,0.9056603773584906,0.8867924528301887,0.8705927196493235,0.808433734939759,0.9860582010582011
LR,0.9056603773584906,0.9245283018867925,0.9056603773584906,0.8981303213109143,0.8419797257006559,0.987010582010582
SVC,0.9056603773584906,0.910377358490566,0.9056603773584906,0.9074724229314368,0.8474381116868164,0.98510582010582
SVC,0.9245283018867925,0.9263252470799641,0.9245283018867925,0.925026061966434,0.8771014492753624,0.9786195286195287
SVC,0.8679245283018868,0.8616352201257863,0.8679245283018868,0.8524871355060034,0.77811004784689,0.9550817700817701
SVC,0.8490566037735849,0.842948717948718,0.8490566037735849,0.8258449624909253,0.7453453453453454,0.9418927368927369
