Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9385281385281387,0.9236298292902065,0.9245283018867925,0.9233317993557294,0.8758782201405152,0.9841221741221742
KNN,0.9244588744588744,0.9169811320754717,0.9056603773584906,0.9088602008165068,0.8480504587155964,0.9888239538239537
KNN,0.9387445887445887,0.9279350104821803,0.9245283018867925,0.9256155292305601,0.8779504893494531,0.9873232323232323
KNN,0.901082251082251,0.9153404429860541,0.9056603773584906,0.9082809224318658,0.8489167616875712,0.9849422799422799
LR,0.9142857142857144,0.9263252470799641,0.9245283018867925,0.925026061966434,0.8771014492753624,0.9682659932659932
LR,0.9142857142857144,0.9424977538185084,0.9433962264150944,0.9421997238840313,0.9069086651053864,0.9681818181818183
LR,0.9142857142857144,0.9263252470799641,0.9245283018867925,0.925026061966434,0.8771014492753624,0.9597113997113998
LR,0.9002164502164502,0.9263252470799641,0.9245283018867925,0.925026061966434,0.8771014492753624,0.9592616642616644
SVC,0.9571428571428571,0.9424977538185084,0.9433962264150944,0.9421997238840313,0.9069086651053864,0.9877946127946129
SVC,0.9430735930735932,0.9468267581475128,0.9433962264150944,0.9435085354896675,0.908092485549133,0.9958201058201058
SVC,0.9430735930735932,0.9484875711290804,0.9433962264150944,0.9445049764038151,0.9087256027554536,0.9897041847041846
SVC,0.9194805194805195,0.9358490566037736,0.9245283018867925,0.9279350104821803,0.879133409350057,0.979939874939875
