Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.875,0.875,0.875,0.875,0.7941327843540916,0.9452688527788059
KNN,0.8375,0.8532085253456222,0.8375,0.8438154761904763,0.7373074008588028,0.9427221292366799
KNN,0.875,0.8888655462184873,0.875,0.8799014084507043,0.798183652875883,0.95232642643419
KNN,0.9,0.9034722222222221,0.9,0.9014740917212627,0.83640081799591,0.9638485838680163
LR,0.9125,0.909508547008547,0.9125,0.9097368421052632,0.8539384454877412,0.9625234083414695
LR,0.9125,0.9150641025641025,0.9125,0.9130836162988116,0.8555211558307534,0.9599136594799828
LR,0.9,0.9123511904761905,0.9,0.9042474591250553,0.8381385938290339,0.9584470766180511
LR,0.9125,0.9201923076923076,0.9125,0.9152217741935484,0.8574338085539714,0.9597191517455043
SVC,0.8875,0.9161764705882351,0.8875,0.8954435630174489,0.8212068537372734,0.9861127727225111
SVC,0.875,0.8888655462184873,0.875,0.8799014084507043,0.798183652875883,0.9673168159585153
SVC,0.875,0.8791666666666667,0.875,0.8768463371054199,0.7955010224948875,0.9693078868362456
SVC,0.8875,0.8849142156862744,0.8875,0.8855749273557493,0.813953488372093,0.975648480024744
