Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9142857142857144,0.9588336192109778,0.9433962264150944,0.9460584419700395,0.9102202145680407,0.9967195767195767
KNN,0.8577922077922077,0.9501572327044026,0.9433962264150944,0.9446731764791063,0.9090909090909091,0.9915319865319865
KNN,0.8580086580086581,0.8840970350404314,0.8867924528301887,0.8847982819450836,0.8138173302107728,0.9864790764790765
KNN,0.8718614718614719,0.9054153393776035,0.9056603773584906,0.9041201386214863,0.8453006421482778,0.972979797979798
LR,0.9142857142857143,0.9820305480682839,0.9811320754716981,0.9807332412946772,0.9689695550351288,0.9981481481481481
LR,0.8954545454545455,0.9820305480682839,0.9811320754716981,0.9807332412946772,0.9689695550351288,0.9981481481481481
LR,0.890909090909091,0.9069182389937106,0.9056603773584906,0.8980130381747632,0.8431024274718768,0.9939682539682541
LR,0.8811688311688313,0.9263252470799641,0.9245283018867925,0.925026061966434,0.8771014492753624,0.9555002405002405
SVC,0.9383116883116884,1.0,1.0,1.0,1.0,1.0
SVC,0.9285714285714286,1.0,1.0,1.0,1.0,1.0
SVC,0.9004329004329004,1.0,1.0,1.0,1.0,0.9990740740740741
SVC,0.9002164502164502,0.9424977538185084,0.9433962264150944,0.9421997238840313,0.9069086651053864,0.9826599326599327
