Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9811320754716981,0.9832285115303984,0.9811320754716981,0.9814944845862873,0.9694876223373633,0.9990608465608467
KNN,0.8301886792452831,0.8827838827838828,0.8301886792452831,0.843375906192289,0.7364640883977901,0.9678499278499278
KNN,0.7924528301886793,0.7757861635220125,0.7924528301886793,0.7787576305096521,0.654825340438129,0.9213407888407888
KNN,0.8679245283018868,0.859538784067086,0.8679245283018868,0.861289653742484,0.7799525504151839,0.9452525252525251
LR,0.8867924528301887,0.8767590080141351,0.8867924528301887,0.8704540174999355,0.8092381523695261,0.9898148148148148
LR,0.9245283018867925,0.9326370921941062,0.9245283018867925,0.9141092154281634,0.8728254349130173,0.9884126984126983
LR,0.8867924528301887,0.9056603773584906,0.8867924528301887,0.8705927196493235,0.808433734939759,0.9860582010582011
LR,0.9056603773584906,0.9054153393776035,0.9056603773584906,0.9041201386214863,0.8453006421482778,0.9541534391534392
SVC,0.9056603773584906,0.910377358490566,0.9056603773584906,0.9074724229314368,0.8474381116868164,0.986957671957672
SVC,0.8867924528301887,0.8941755537325676,0.8867924528301887,0.8869604996592384,0.8167146974063401,0.9781746031746031
SVC,0.8679245283018868,0.8616352201257863,0.8679245283018868,0.8524871355060034,0.77811004784689,0.9495262145262146
SVC,0.9056603773584906,0.9054153393776035,0.9056603773584906,0.9041201386214863,0.8453006421482778,0.949944684944685
