Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9245283018867925,0.9277766258898333,0.9245283018867925,0.923078112975517,0.8746303962152573,0.9631120731120731
KNN,0.8679245283018868,0.8639912149346112,0.8679245283018868,0.8599065453644377,0.7783751493428913,0.9605423280423281
KNN,0.9056603773584906,0.9112074690417595,0.9056603773584906,0.9070928417386283,0.8478760045924225,0.9739117364117363
KNN,0.8867924528301887,0.8835786854654779,0.8867924528301887,0.8845726970033296,0.813270698766882,0.9661399711399712
LR,0.9433962264150944,0.9424977538185084,0.9433962264150944,0.9421997238840313,0.9069086651053864,0.9569023569023569
LR,0.9433962264150944,0.9424977538185084,0.9433962264150944,0.9421997238840313,0.9069086651053864,0.9583333333333334
LR,0.9056603773584906,0.9020664869721473,0.9056603773584906,0.9032060131922074,0.844847775175644,0.955026455026455
LR,0.9245283018867925,0.9263252470799641,0.9245283018867925,0.925026061966434,0.8771014492753624,0.9512385762385763
SVC,0.9433962264150944,0.9484875711290804,0.9433962264150944,0.9445049764038151,0.9087256027554536,0.9845983645983646
SVC,0.9622641509433962,0.963162623539982,0.9622641509433962,0.9623017177418597,0.9385507246376812,0.9818181818181818
SVC,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9383720930232559,0.9826599326599327
SVC,0.9433962264150944,0.9475890985324947,0.9433962264150944,0.9448685134431131,0.9084628670120898,0.9765440115440115
