Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9556451612903226,0.9552533942817502,0.9556451612903226,0.9525529455386159,0.7984186802630606,0.9839331655377763
KNN,0.9516129032258065,0.9496903715816307,0.9516129032258065,0.9493443893888832,0.7803527935641007,0.9625581091554375
KNN,0.9475806451612904,0.9506124127185642,0.9475806451612904,0.948784792170612,0.7695002502323587,0.9851813892757176
KNN,0.9475806451612904,0.9438585607940446,0.9475806451612904,0.9445957268537913,0.7585742099745394,0.9576823743985567
LR,0.9435483870967742,0.9546640566391598,0.9435483870967742,0.9379511845340088,0.7500539917932474,0.9825826971839714
LR,0.9435483870967742,0.9546640566391598,0.9435483870967742,0.9379511845340088,0.7500539917932474,0.982695270866549
LR,0.9395161290322581,0.9264382501875469,0.9395161290322581,0.9308947329211057,0.7322007054927651,0.9775998234822407
LR,0.9395161290322581,0.9370061265316328,0.9395161290322581,0.9358399550757008,0.7328162034044388,0.9773296061506169
SVC,0.9637096774193549,0.9679742084138546,0.9637096774193549,0.9618350454753647,0.8350698293061405,0.9901118514737147
SVC,0.9556451612903226,0.9648978776952302,0.9556451612903226,0.9529338807629801,0.8038397929100454,0.9907599407951618
SVC,0.9556451612903226,0.9677887558125726,0.9556451612903226,0.9500608038914491,0.8063325287519523,0.9863600738980712
SVC,0.9516129032258065,0.9546244078502143,0.9516129032258065,0.9472155337315366,0.7698731828023507,0.9710957003982342
