Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.943939393939394,0.9615963855421686,0.9518072289156626,0.9537857449084668,0.7833605220228385,0.9925531025500618
KNN,0.9454545454545455,0.9720537160296197,0.963855421686747,0.9657613972930856,0.8411736565141126,0.9943927644157079
KNN,0.946969696969697,0.9690768964706822,0.9578313253012049,0.9597657872870794,0.8144955300127714,0.9909711832326272
KNN,0.943939393939394,0.9496341530505583,0.9397590361445783,0.9370431190798645,0.716142270861833,0.9873014455444796
LR,0.9181818181818182,0.9036600949251551,0.9156626506024096,0.9057685824298668,0.6191412651589643,0.979132202251121
LR,0.9212121212121211,0.9396326565001264,0.9156626506024096,0.9129265831800107,0.6277430722409099,0.9784510329097902
LR,0.9287878787878787,0.9235944778113453,0.9156626506024096,0.9132151323346124,0.62816,0.9736514393206676
LR,0.9272727272727274,0.9158922402898307,0.9096385542168675,0.9091400083090985,0.6020457088061372,0.9734622194581837
SVC,0.9515151515151515,0.9690768964706822,0.9578313253012049,0.9597657872870794,0.8144955300127714,0.9936887339281192
SVC,0.9515151515151515,0.9752694990488269,0.963855421686747,0.9667095955384926,0.8444964871194379,0.9922636480368126
SVC,0.9484848484848486,0.967871485943775,0.9578313253012049,0.9609714670715455,0.8187772925764192,0.9893256599760912
SVC,0.9469696969696969,0.9539647523696395,0.9337349397590361,0.9373410597406929,0.7142857142857143,0.9667128918593978
