Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9397590361445783,0.9468003593320652,0.9397590361445783,0.9390396638098787,0.7288910664706842,0.985850393913751
KNN,0.9397590361445783,0.9563755020080322,0.9397590361445783,0.9392678492790282,0.7285807717462394,0.9594621198681903
KNN,0.9578313253012049,0.972590361445783,0.9578313253012049,0.961653431909456,0.8222969873069277,0.9899694026283478
KNN,0.9397590361445783,0.9496341530505583,0.9397590361445783,0.9370431190798645,0.716142270861833,0.9359262781248353
LR,0.9156626506024096,0.9036600949251551,0.9156626506024096,0.9057685824298668,0.6191412651589643,0.979132202251121
LR,0.9216867469879518,0.9418387837062534,0.9216867469879518,0.9176750317565854,0.6467506956948764,0.9802437427962638
LR,0.9156626506024096,0.9056942053930005,0.9156626506024096,0.9073480093813704,0.6195776722867901,0.9745242878977951
LR,0.9156626506024096,0.9036600949251551,0.9156626506024096,0.9057685824298668,0.6191412651589643,0.9744423686028617
SVC,0.9457831325301205,0.9639737772267892,0.9457831325301205,0.9451795009653217,0.76096,0.9912689941023644
SVC,0.9457831325301205,0.9639737772267892,0.9457831325301205,0.9451795009653217,0.76096,0.991605400594786
SVC,0.9337349397590361,0.9597145471045235,0.9337349397590361,0.9309796443973289,0.7136584600909519,0.985991955824165
SVC,0.9397590361445783,0.9456101432758058,0.9397590361445783,0.9360079711012371,0.7025089605734767,0.9678581700336455
