Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9406432748538013,0.8652380952380951,0.85,0.854634511993383,0.7587939698492463,0.9605771723974296
KNN,0.945906432748538,0.8795594800420169,0.8625,0.8672160737812913,0.7785606441872169,0.9695206253914547
KNN,0.9289473684210527,0.8906926406926408,0.875,0.880087912087912,0.7984378936759889,0.9747227635344579
KNN,0.9131578947368422,0.8593034416563828,0.85,0.8531834597327554,0.7565305604869388,0.9746279605709901
LR,0.89093567251462,0.9384868421052632,0.9375,0.9378174603174603,0.8969337799536202,0.9720868461803908
LR,0.8961988304093568,0.930048076923077,0.925,0.926094459241475,0.8768283294842186,0.971415653836344
LR,0.8906432748538012,0.939423076923077,0.9375,0.9377546689303905,0.8968008255933952,0.9729501907818863
LR,0.8961988304093568,0.939423076923077,0.9375,0.9377546689303905,0.8968008255933952,0.9718951295433222
SVC,0.9459064327485379,0.931756072874494,0.925,0.926577868852459,0.8776446596992098,0.9910927504021855
SVC,0.9678362573099415,0.9190946374414116,0.9125,0.9148992987606,0.8576150521230612,0.9900175384862412
SVC,0.9233918128654972,0.9277380952380951,0.9125,0.9168243382961127,0.8592964824120604,0.9867614589121478
SVC,0.9125730994152047,0.8937637362637363,0.8875,0.8895833333333334,0.8171660741493143,0.9861333590202713
