Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9437229437229437,0.9475890985324947,0.9433962264150944,0.944819146816927,0.9081986143187067,0.9508068783068784
KNN,0.9242424242424242,0.9475890985324947,0.9433962264150944,0.9448685134431131,0.9084628670120898,0.9877417027417028
KNN,0.9387445887445887,0.9279350104821803,0.9245283018867925,0.9256155292305601,0.8779504893494531,0.9873232323232323
KNN,0.8677489177489177,0.9236298292902065,0.9245283018867925,0.9233317993557294,0.8758782201405152,0.9859451659451658
LR,0.9192640692640694,0.9441313403577554,0.9433962264150944,0.9422153767167244,0.9071803852889667,0.986952861952862
LR,0.9145021645021645,0.9076526426813547,0.9056603773584906,0.9037041099897616,0.8457508731082655,0.9757599807599808
LR,0.9142857142857144,0.9263252470799641,0.9245283018867925,0.925026061966434,0.8771014492753624,0.9597113997113998
LR,0.8952380952380953,0.9137466307277629,0.9056603773584906,0.9083391985418189,0.8478760045924225,0.9611688311688312
SVC,0.9573593073593074,0.9227313566936208,0.9245283018867925,0.9228716060745512,0.8758782201405152,0.9924025974025974
SVC,0.9432900432900434,0.9358490566037736,0.9245283018867925,0.9279350104821803,0.879133409350057,0.9943891293891293
SVC,0.9430735930735932,0.9484875711290804,0.9433962264150944,0.9445049764038151,0.9087256027554536,0.9887782587782588
SVC,0.9142857142857143,0.9424977538185084,0.9433962264150944,0.9421997238840313,0.9069086651053864,0.9901515151515152
